sep=;
Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
357;15770542;90825;5;0;50;6;140;0;140;0;256675;231441
358;15892523;91368;5;0;50;6;140;0;140;0;257481;135500
359;16022435;91911;5;0;50;6;140;0;140;0;258288;128376
360;16158340;92454;5;0;50;6;140;0;140;0;259094;123189
361;16294684;92997;5;0;50;6;140;0;140;0;259900;123556
362;16428729;93540;5;0;50;6;140;0;140;0;260707;126662
363;16568373;94083;5;0;50;6;140;0;140;0;261513;121869
364;16612774;94626;5;0;50;6;140;0;140;0;262320;217919
365;16750592;95169;5;0;50;6;140;0;140;0;263126;125308
366;16896795;95712;5;0;50;6;140;0;140;0;263932;117729
